"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets received","Likes received","User Id",Name,Username,"Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1217457712642035713""",https://twitter.com/cnn/status/1217457712642035713,"2020-01-15 14:45:12","""An ancient grove of pine trees whose ancestors are thought to have stood tall among dinosaurs some 200 million years ago has been saved from Australian bushfires in a covert firefighting mission. https://t.co/qTysJBZ4Mi""",Tweet,SocialFlow,119,596,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217454660648349701""",https://twitter.com/cnn/status/1217454660648349701,"2020-01-15 14:33:04","""Rich people live healthy, disability-free lives an average of nine years longer than less wealthy people, according to a major study that lays bare the troubling economic inequalities behind lifespans in the US and UK. https://t.co/RefBFg1t3g""",Tweet,SocialFlow,285,664,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217453933305782279""",https://twitter.com/cnn/status/1217453933305782279,"2020-01-15 14:30:11","""Former New Orleans Saints safety Steve Gleason is being awarded the Congressional Gold Medal for his work with amyotrophic lateral sclerosis (ALS), a disease he was diagnosed with in 2011. https://t.co/fIw9UCNnte""",Tweet,SocialFlow,71,499,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217451403830026241""",https://twitter.com/cnn/status/1217451403830026241,"2020-01-15 14:20:08","""A group of homeless mothers and their children in California were forcibly evicted Tuesday from a vacant home they'd been illegally living in for months, officials said. https://t.co/PogbXQRgjM""",Tweet,SocialFlow,60,157,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217449379847688192""",https://twitter.com/cnn/status/1217449379847688192,"2020-01-15 14:12:05","""JUST IN: The entire Russian government resigns, clearing a way for President Vladimir Putin to enact reforms that would weaken his successor https://t.co/KiTD1LXcyI""",Tweet,SocialFlow,859,1303,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217448893299990529""",https://twitter.com/cnn/status/1217448893299990529,"2020-01-15 14:10:09","""Chess great Magnus Carlsen made history Tuesday as he extended his unbeaten run to 111 successive classical games, breaking the 110-game streak set by Sergei Tiviakov in 2005. https://t.co/ge3S40Dosl""",Tweet,SocialFlow,305,1313,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217447159278243847""",https://twitter.com/newday/status/1217447159278243847,"2020-01-15 14:03:16","""""Yeah, there's a double standard for women in politics, but I'll make it,"" says Sen. @amyklobuchar about whether a woman can win the White House. ""I've got the receipts. I literally have won in those counties... that Donald Trump won.""
https://t.co/EDE77btp7y https://t.co/A8C7SCqVTr""",Retweet,"SnapStream TV Search",128,490,"""1375289149""","""New Day""",newday,Verified,https://twitter.com/newday,"Not Protected"
"""1217446397542379525""",https://twitter.com/cnn/status/1217446397542379525,"2020-01-15 14:00:14","""Today's top business headlines:

- US and China sign phase one trade deal

- Bruising year for Boeing

- BlackRock to change investment strategy

- WNBA's new labor deal means more money

https://t.co/tQ7osYNvoP https://t.co/iF8EBW4XwC""",Tweet,SocialFlow,30,84,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217443838853337088""",https://twitter.com/cnn/status/1217443838853337088,"2020-01-15 13:50:04","""Thomas Markle, the father of Meghan, Duchess of Sussex, could end up testifying against her in a potential court battle over her treatment in the UK media. https://t.co/QiSAEkXwF0""",Tweet,SocialFlow,59,274,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217443505171304455""",https://twitter.com/newday/status/1217443505171304455,"2020-01-15 13:48:45","""“I didn't really hear anything,"" @TomSteyer says about being in the middle of an interaction between Sens. Warren and Sanders after last night’s debate. ""… I just said my good nights as fast as I could.” https://t.co/2ApJKUT2E2 https://t.co/ohA81aOsnY""",Retweet,"Twitter Media Studio",16,66,"""1375289149""","""New Day""",newday,Verified,https://twitter.com/newday,"Not Protected"
"""1217441340214194178""",https://twitter.com/cnn/status/1217441340214194178,"2020-01-15 13:40:09","""This year's inductees to the Rock and Roll Hall of Fame are Depeche Mode, The Doobie Brothers, Whitney Houston, Nine Inch Nails, The Notorious B.I.G. and T-Rex. https://t.co/Ceac6hgxkk""",Tweet,SocialFlow,102,357,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217439927836848129""",https://twitter.com/newday/status/1217439927836848129,"2020-01-15 13:34:32","""""I would caution against going to the extreme when we can solve big problems like delivering healthcare to every American without alienating half the country,"" says 2020 candidate @PeteButtigieg about being a more moderate Democratic presidential candidate
https://t.co/MeeApu4WGC https://t.co/LQL4J7J520""",Retweet,"Twitter Media Studio",286,1513,"""1375289149""","""New Day""",newday,Verified,https://twitter.com/newday,"Not Protected"
"""1217438837821124608""",https://twitter.com/cnn/status/1217438837821124608,"2020-01-15 13:30:12","""Just two years ago, Timothy Chavira was released from a California prison on parole after serving nearly 30 years for killing his stepmother. He's now accused of killing someone again, authorities say. https://t.co/V4rY77Fqrv""",Tweet,SocialFlow,77,159,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217436293245874176""",https://twitter.com/cnn/status/1217436293245874176,"2020-01-15 13:20:05","""The world's largest offshore wind farm off the east coast of Britain is almost complete. It will produce enough energy to supply 1 million UK homes with clean electricity. https://t.co/XmOaVX4W42 https://t.co/fVweS0Nv8Y""",Tweet,SocialFlow,1269,4733,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217433775585611776""",https://twitter.com/cnn/status/1217433775585611776,"2020-01-15 13:10:05","""A Florida woman is facing charges after she went to a Walmart in Tampa, got items from the shelves and started making an explosive device inside the store, authorities said.https://t.co/xKsbo2qqMb""",Tweet,SocialFlow,141,314,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
"""1217431300195454986""",https://twitter.com/cnn/status/1217431300195454986,"2020-01-15 13:00:15","""The best country in the world to raise a child? It's not America, a survey finds. The US came in at number 18 for best country to raise a child, beaten by many countries in Europe, Canada and Australia. The top spots went to Denmark, Sweden and Norway. https://t.co/G5Caj9usm7""",Tweet,SocialFlow,384,1361,"""759251""","""CNN""",cnn,Verified,https://twitter.com/cnn,"Not Protected"
